brand,battery,ram(GB),storage(GB),price(USD)
Realme,5000,2,32,100.0
Realme,4200,8,128,290.0
Xiaomi,5000,4,32,77.77
Realme,5000,3,32,126.99
Xiaomi,5000,6,32,73.99
Honor,5000,8,64,240.0
Honor,4000,8,64,220.0
Samsung,4500,8,128,220.0
Xiaomi,5000,6,64,170.0
Realme,4200,8,128,500.0
Oppo,4230,3,32,270.0
Samsung,4000,3,32,60.0
OnePlus,4115,6,64,319.0
Samsung,3000,2,16,110.0
Lenovo,5000,8,128,100.0
Lenovo,5000,16,256,510.0
Samsung,3300,8,256,300.0
Realme,4300,6,64,150.0
Oppo,4040,8,128,290.0
Samsung,3000,2,16,150.0
LG,4300,6,128,470.0
Realme,6000,4,32,95.988
Oppo,4015,8,128,355.0
Samsung,6000,8,128,110.0
Xiaomi,4729,12,128,600.0
Oppo,4000,8,128,250.0
Realme,5000,8,128,180.0
Google,3140,6,128,330.0
Xiaomi,5020,4,64,127.188
Oppo,4025,8,128,1349.0
Samsung,4300,8,128,850.0
Samsung,4300,8,256,800.0
Samsung,4500,8,256,261.0
Samsung,4500,8,128,1250.0
Samsung,4500,12,256,850.0
Xiaomi,4500,8,128,250.0
Xiaomi,4500,8,128,650.0
Realme,6000,4,32,110.0
Samsung,4500,6,128,960.0
LG,4300,6,128,270.0
Oppo,5000,6,64,1000.0
LG,3000,2,32,590.0
LG,4000,6,128,150.0
Xiaomi,5000,4,64,110.0
Xiaomi,5000,4,32,100.0
Samsung,7000,8,128,470.0
Realme,4500,8,128,470.0
Realme,4300,8,128,330.0
Realme,5000,8,64,120.0
Oppo,4015,8,128,330.0
Oppo,4015,8,64,230.0
Samsung,5000,8,128,470.0
Huawei,4200,8,128,210.0
Realme,5000,8,64,170.0
Realme,4500,8,128,340.0
Huawei,5000,6,64,250.0
Xiaomi,5160,8,64,260.0
Huawei,4300,8,128,280.0
Xiaomi,5000,6,64,125.988
Xiaomi,5000,2,32,75.73
Oppo,5000,8,64,120.0
Honor,4000,4,128,200.0
LG,3000,3,32,360.0
LG,4000,8,128,140.0
Xiaomi,5000,4,64,113.988
LG,3000,3,32,130.0
Realme,5000,8,64,180.0
Sony,4000,8,128,650.0
LG,4000,4,128,850.0
LG,4000,3,64,140.0
Oppo,4300,8,128,390.0
Realme,6000,4,64,130.0
Realme,5000,6,64,160.0
Realme,5000,4,32,100.0
Realme,4500,8,64,170.0
Xiaomi,6000,8,64,191.88
LG,4000,4,64,290.0
LG,4000,4,64,220.0
Samsung,4500,8,128,299.99
Samsung,4500,8,128,390.0
LG,4000,4,64,240.0
Huawei,5000,4,64,200.0
Oppo,4015,8,128,168.92
Oppo,5000,4,32,190.0
LG,4000,6,128,340.0
Oppo,4000,8,128,150.0
Google,4080,8,128,238.0
Xiaomi,5000,8,128,369.31
Google,3885,6,128,380.0
Xiaomi,5000,8,128,429.99
Xiaomi,4820,6,64,322.99
Oppo,4000,8,128,200.0
Oppo,4015,6,128,270.0
Xiaomi,5000,4,32,80.0
Realme,5000,8,64,250.0
Samsung,6000,6,64,330.0
Oppo,4000,8,128,370.0
Oppo,5000,4,64,320.0
Apple,2815,6,128,567.86
Apple,2815,4,64,607.0
Apple,3687,6,128,1298.67
Realme,5000,4,128,130.0
Realme,5000,6,128,160.0
Realme,4300,8,128,310.0
Apple,2227,4,64,868.24
OnePlus,4500,8,128,269.0
Samsung,6000,6,128,200.0
OnePlus,4500,12,256,640.0
Oppo,4230,3,32,130.0
Lenovo,5000,4,64,90.0
Huawei,4000,8,128,160.0
Huawei,5000,4,64,230.0
Huawei,4400,8,256,790.0
Huawei,4400,8,128,630.0
Huawei,4400,8,256,1400.0
Huawei,4500,8,128,290.0
Huawei,4200,8,128,680.0
OnePlus,5000,4,64,123.22
OnePlus,4300,6,128,226.72
Xiaomi,5000,8,128,330.0
Realme,6000,4,32,110.0
Honor,5000,4,128,230.0
Oppo,4040,8,128,260.0
Oppo,5000,8,128,349.0
Samsung,6000,4,64,190.0
LG,4000,4,64,130.0
LG,4000,4,128,140.0
Huawei,3800,8,128,1400.0
Realme,5000,8,128,276.92
Samsung,5000,4,16,230.0
Xiaomi,6000,6,64,199.99
Samsung,5000,6,32,80.0
Xiaomi,5000,8,64,170.0
Xiaomi,4820,8,128,370.0
Xiaomi,6000,8,128,130.0
Lenovo,6000,4,64,130.0
Lenovo,5000,4,64,100.0
Oppo,4350,8,128,529.0
Oppo,4300,8,128,280.0
Xiaomi,6000,6,64,120.0
Oppo,4230,4,64,299.0
Oppo,4040,8,128,169.0
Realme,6000,4,64,190.0
Huawei,4000,8,128,410.0
Huawei,3800,8,128,160.0
Huawei,5000,8,128,330.0
Oppo,4500,8,128,250.0
Xiaomi,4600,6,128,792.43
Oppo,4310,8,128,240.0
Xiaomi,4820,8,128,250.0
Samsung,5000,4,32,220.0
Realme,4310,8,128,190.0
Xiaomi,5000,6,64,163.98
Xiaomi,6000,6,64,189.99
Samsung,5000,8,64,100.0
Samsung,5000,16,128,539.47
Oppo,5000,8,128,410.0
Samsung,4000,8,128,240.45
Samsung,4800,8,128,443.89
Realme,5000,2,32,90.0
Honor,4000,8,128,460.0
Oppo,5000,8,128,500.0
Samsung,5000,4,32,146.98
Samsung,5000,3,32,169.0
Realme,4310,8,128,230.0
Samsung,6000,6,64,666.9
Realme,5000,6,128,160.0
Samsung,7000,8,128,130.0
Huawei,4500,8,256,600.0
LG,5000,6,128,180.0
LG,5000,4,128,170.0
LG,5000,4,64,160.0
Samsung,7000,8,128,270.0
Realme,6000,4,32,435.0
Realme,5000,8,64,200.0
Xiaomi,4520,6,128,280.0
Xiaomi,4520,6,128,360.0
Xiaomi,4520,12,256,470.0
Oppo,4300,8,128,310.0
Samsung,5000,8,64,274.44
Huawei,3800,8,128,2300.0
Xiaomi,5020,16,256,1300.0
Xiaomi,5000,8,64,179.0
Xiaomi,5020,8,64,199.0
Xiaomi,5000,8,64,176.4
Xiaomi,5000,6,64,249.99
Xiaomi,5020,8,64,220.0
Xiaomi,5020,8,64,180.0
Samsung,3000,4,64,215.98
Realme,4500,8,128,349.99
Oppo,4310,8,128,260.0
Realme,5000,4,32,141.04
Oppo,4310,8,128,370.0
Oppo,4310,8,128,200.0
Xiaomi,4780,8,128,430.0
Huawei,4200,8,128,500.0
Oppo,4300,8,128,250.0
Oppo,4500,12,128,275.0
Oppo,4500,8,128,300.0
Oppo,4500,8,256,250.0
Samsung,4500,8,128,364.88
Samsung,5000,8,128,449.9
Samsung,4500,8,128,349.0
Oppo,4310,8,128,130.0
Xiaomi,4520,8,128,380.0
Xiaomi,5160,8,128,274.09
Honor,3800,8,128,390.0
OnePlus,4500,8,128,308.0
OnePlus,4500,8,128,304.2
Oppo,4310,8,128,260.0
OnePlus,4500,8,128,372.4
Realme,6000,4,64,140.0
Xiaomi,4500,6,128,930.0
Xiaomi,4500,8,128,500.0
Vivo,4500,8,128,320.0
Realme,4500,8,128,550.0
Realme,5000,8,64,178.9
Oppo,5000,6,64,311.88
Xiaomi,5000,8,256,1500.0
Xiaomi,4250,8,64,478.13
Xiaomi,4520,8,128,525.0
Xiaomi,4250,8,64,271.8
Xiaomi,5000,8,128,561.25
Realme,4500,6,128,260.0
Realme,5000,8,128,210.0
Oppo,5000,6,128,255.0
Realme,4500,8,128,310.0
Oppo,4310,8,128,161.88
Samsung,5000,4,32,100.0
Oppo,5000,8,128,600.0
Oppo,5000,8,128,405.99
Samsung,6000,4,64,130.0
Lenovo,5500,18,128,880.0
Lenovo,5500,16,256,800.0
Samsung,4500,6,128,520.0
Oppo,4230,4,64,220.0
Sony,4500,12,256,495.0
Sony,4500,8,128,589.99
